Nombre,Subcategoria,Precio,Ruta de la Imagen,Calorias,Grasas,Carbohidratos,Proteínas,Fibra,Sal,Azúcares,supermercado,Categoria
Ajo troceado Hacendado ultracongelado,Verdura (congelados),"1,02 €",img_mercadona\Verdura_(congelados)\Verdura\Ajo_troceado_Hacendado_ultracongelado_26.jpg,91.36,2.11,12.64,3.82,1.19,0.02,1.55,Mercadona,Frutas y Verduras
Ventresca de atún claro en aceite de oliva Hacendado,Atún y otras conservas de pescado,"3,30 €",img_mercadona\Atún_y_otras_conservas_de_pescado\Atún\Ventresca_de_atún_claro_en_aceite_de_oliva_Hacendado_11.jpg,205.0,11.0,0.7,25.0,0.0,1.46,0.56,Mercadona,Alimentos Procesados
Queso lonchas cremoso light havarti de vaca Hacendado,"Queso lonchas, rallado y en porciones","2,81 €","img_mercadona\Queso_lonchas,_rallado_y_en_porciones\Queso_lonchas\Queso_lonchas_cremoso_light_havarti_de_vaca_Hacendado_2.jpg",179.68,6.74,20.81,8.41,0.26,1.33,0.29,Mercadona,Lácteos y Huevos
ALCAMPO ECOLÓGICO Maíz dulce al natural ALCAMPO ECOLÓGICO tarro de 215 g.,Conservas Vegetales,"1,94 €",img_alcampo/Conservas Vegetales\ALCAMPO_ECOLÓGICO_Maíz_dulce_al_natural_ALCAMPO_ECOLÓGICO_tarro_de_215_g._62.jpg,202,9.9,9.1,12.7,0.0,1.9,3.3,Alcampo,Alimentos Procesados
Lacón en tapas Mrm bandeja 200 g,CharcuteriaQuesos,"4,09 €",https://www.dia.es/product_images/207575/207575_ISO_0_ES.jpg?imwidth=176,110kcal,"3,1g",1g,"19,5g",0.0,2g,0.0,Día,Carnes y Pescados
Judías verdes cortadas categoría extra Vegecampo de Dia frasco 360 g,ConservasCaldosCremas,"1,25 €",https://www.dia.es/product_images/13049/13049_ISO_0_ES.jpg?imwidth=176,23kcal,"0,5g","2,1g","1,3g",0.0,"0,7g",0.0,Día,Alimentos Procesados
Crema de cacao y leche de avellanas dúo Nocilla bote 180 g,AzucarChocolatesCaramelos,"2,59 €",https://www.dia.es/product_images/101750/101750_ISO_0_ES.jpg?imwidth=176,539kcal,31g,60g,"4,2g",0.7283347493627867,"0,14g",0.0,Día,Dulces y Snacks
Café soluble descafeinado Nescafé frasco 200 g,CafeCacaoInfusiones,"6,65 €",https://www.dia.es/product_images/233/233_ISO_0_ES.jpg?imwidth=176,379kcal,"8,5g",63g,"9,5g",0.0575997340425532,"1,1g",0.0,Día,Bebidas
GALLO Pasta marisco GALLO paquete de 450 g.,Pasta Alimenticia,"1,32 €",img_alcampo/Pasta Alimenticia\GALLO_Pasta_marisco_GALLO_paquete_de_450_g._106.jpg,181,15.9,20.9,23.6,0.0,0.9,2.7,Alcampo,Alimentos Básicos
BONDUELLE Guisantes cocinados extra finos frasco de 465 g.,Conservas Vegetales,"3,38 €",img_alcampo/Conservas Vegetales\BONDUELLE_Guisantes_cocinados_extra_finos_frasco_de_465_g._17.jpg,273,19.6,5.7,10.1,0.0,0.4,1.3,Alcampo,Alimentos Procesados
Cigalas crudas Mari Marinera de Dia bandeja 500 g,Congelados,"8,99 €",https://www.dia.es/product_images/266548/266548_ISO_0_ES.jpg?imwidth=176,77kcal,"1,1g","0,1g","16,9g",0.0,"0,55g",0.0,Día,Alimentos Procesados
PRODUCTO ALCAMPO Magdalenas cuadradas 350 g.,Desayuno y Merienda,"1,69 €",img_alcampo/Desayuno y Merienda\PRODUCTO_ALCAMPO_Magdalenas_cuadradas_350_g._6.jpg,215,8.1,10.4,19.4,0.0,0.2,3.6,Alcampo,Alimentos Procesados
Barritas de chocolate y caramelo 3 unidades Mars bolsa 135 g,AzucarChocolatesCaramelos,"2,79 €",https://www.dia.es/product_images/18242/18242_ISO_0_ES.jpg?imwidth=176,443kcal,16g,70g,"4,5g",0.0,"0,67g",0.0,Día,Dulces y Snacks
CALVO Ventresca de atún en aceite de oliva lata de 75 g.,Conservas de Pescado,"5,45 €",img_alcampo/Conservas de Pescado\CALVO_Ventresca_de_atún_en_aceite_de_oliva_lata_de_75_g._192.jpg,161,16.7,18.0,11.3,0.0,1.9,3.3,Alcampo,Alimentos Procesados
JA'E Alubias largas extra cocidas JA`E 500 g.,Arroz y Legumbres,"1,79 €",img_alcampo/Arroz y Legumbres\JA'E_Alubias_largas_extra_cocidas_JA`E_500_g._246.jpg,198,8.8,11.2,13.6,0.0,1.2,5.3,Alcampo,Alimentos Básicos
PRODUCTO ALCAMPO Piñones mondados 50 g.,Desayuno y Merienda,"1,89 €",img_alcampo/Desayuno y Merienda\PRODUCTO_ALCAMPO_Piñones_mondados_50_g._177.jpg,277,6.7,0.8,19.2,0.0,0.3,6.9,Alcampo,Alimentos Procesados
Galletas con chocolate y crema de leche Hacendado,Galletas,"2,30 €",img_mercadona\Galletas\Con_chocolate_y_rellenas\Galletas_con_chocolate_y_crema_de_leche_Hacendado_11.jpg,410.0,10.0,66.0,8.7,2.94,0.17,21.38,Mercadona,Dulces y Snacks
Varitas de merluza MSC Mari Marinera de Dia caja 450 g,Congelados,"3,99 €",https://www.dia.es/product_images/298633/298633_ISO_0_ES.jpg?imwidth=176,214kcal,11g,17g,13g,0.0,"1,2g",0.0,Día,Alimentos Procesados
Mozzarella fresca de vaca Hacendado,Queso untable y fresco,"0,95 €",img_mercadona\Queso_untable_y_fresco\Queso_fresco\Mozzarella_fresca_de_vaca_Hacendado_2.jpg,283.0,21.0,2.5,21.0,0.06,0.9,0.73,Mercadona,Lácteos y Huevos
Tarta infantil DC Comics Hacendado congelada,Tartas y pasteles,"13,80 €",img_mercadona\Tartas_y_pasteles\Tartas_infantiles\Tarta_infantil_DC_Comics_Hacendado_congelada_2.jpg,295.0,11.0,44.0,4.4,1.19,0.32,34.23,Mercadona,Dulces y Snacks
Licor de crema de orujo Ruavieja botella 70 cl,CervezasVinoBebidasAlcoholicas,"13,19 €",https://www.dia.es/product_images/137105/137105_ISO_0_ES.jpg?imwidth=176,0,0,0,0,0.0,0,0.0,Día,Bebidas
Cerveza Victoria Málaga,Cerveza,"0,72 €",img_mercadona\Cerveza\Cerveza_lata\Cerveza_Victoria_Málaga_17.jpg,77.0,1.0,0.0,17.0,0.53,0.01,0.54,Mercadona,Bebidas
Ron añejo Santa Teresa botella 70 cl,CervezasVinoBebidasAlcoholicas,"17,39 €",https://www.dia.es/product_images/147595/147595_ISO_0_ES.jpg?imwidth=176,225kcal,0,"0,5g",0,0.0,0,0.0,Día,Bebidas
Cerveza tostada Amstel lata 10 x 33 cl,CervezasVinoBebidasAlcoholicas,"8,29 €",https://www.dia.es/product_images/277446/277446_ISO_0_ES.jpg?imwidth=176,52kcal,0g,4g,"0,5g",0.0,"0,01g",0.0,Día,Bebidas
Refresco Fanta limón zero azúcares añadidos,Refresco de naranja y de limón,"5,84 €",img_mercadona\Refresco_de_naranja_y_de_limón\Limón\Refresco_Fanta_limón_zero_azúcares_añadidos_3.jpg,179.68,6.74,20.81,8.41,0.0,0.02,0.07,Mercadona,Bebidas
Vino tinto D.O. Ribera del Duero 409 botella 75 cl,CervezasVinoBebidasAlcoholicas,"7,99 €",https://www.dia.es/product_images/240236/240236_ISO_0_ES.jpg?imwidth=176,0,0,0,0,0.0,0,0.0,Día,Bebidas
AUCHAN Pechuga de pavo braseada cortada en lonchas finas 150 g. Producto Alcampo,Charcuteria,"3,19 €",img_alcampo/Charcuteria\AUCHAN_Pechuga_de_pavo_braseada_cortada_en_lonchas_finas_150_g._Producto_Alcampo_31.jpg,147,12.2,26.7,16.0,0.0,0.9,9.1,Alcampo,Carnes y Pescados
Bandeja de preparado de carne picada mixta (vacuno-cerdo) ROLER 500 g.,burguer_meat_picada,"4,79 €",img_alcampo/burguer_meat_picada\Bandeja_de_preparado_de_carne_picada_mixta_(vacuno-cerdo)_ROLER_500_g._46.jpg,143,11.5,18.4,20.6,0.0,1.3,4.8,Alcampo,Carnes y Pescados
Cerveza lager Ramblers de Dia botella 6 x 25 cl,CervezasVinoBebidasAlcoholicas,"1,98 €",https://www.dia.es/product_images/132/132_ISO_0_ES.jpg?imwidth=176,41kcal,0,0,0,0.0,0,0.0,Día,Bebidas
Café soluble Classic Hacendado,Café soluble y otras bebidas,"2,25 €",img_mercadona\Café_soluble_y_otras_bebidas\Café_soluble\Café_soluble_Classic_Hacendado_1.jpg,400.0,6.4,75.0,7.5,0.0,0.08,0.33,Mercadona,Bebidas
Crackers Tuc bolsa 100 g,GalletasBollosCereales,"1,23 €",https://www.dia.es/product_images/64411/64411_ISO_0_ES.jpg?imwidth=176,482kcal,19g,67g,"8,3g",0.42498364944408107,"1,7g",0.0,Día,Alimentos Procesados
Bizcocho con baño de cacao Hacendado,Bollería envasada,"0,34 €",img_mercadona\Bollería_envasada\Pastelitos_surtidos\Bizcocho_con_baño_de_cacao_Hacendado_2.jpg,237.41,9.42,32.76,4.53,0.75,0.6,33.31,Mercadona,Dulces y Snacks
LITORAL Lentejas de la Abuela cocinadas LITORAL 435 g.,Arroz y Legumbres,"1,73 €",img_alcampo/Arroz y Legumbres\LITORAL_Lentejas_de_la_Abuela_cocinadas_LITORAL_435_g._40.jpg,281,15.5,19.4,23.3,0.0,1.0,3.5,Alcampo,Alimentos Básicos
NACHO Atún en aceite de girasol en conserva 141 g.,Conservas de Pescado,"1,99 €",img_alcampo/Conservas de Pescado\NACHO_Atún_en_aceite_de_girasol_en_conserva_141_g._266.jpg,264,14.1,2.8,25.2,0.0,0.6,7.4,Alcampo,Alimentos Procesados
Leche semidesnatada Central Lechera Asturiana botella 1.5 l,LecheHuevosMantequilla,"1,79 €",https://www.dia.es/product_images/5716/5716_ISO_0_ES.jpg?imwidth=176,45kcal,"1,55g","4,65g","3,15g",0.0,"0,1g",0.0,Día,Lácteos y Huevos
CENTRAL LECHERA ASTURIANA Leche de vaca desnatada de origen español 6 x 1l.,Leche,"5,54 €",img_alcampo/Leche\CENTRAL_LECHERA_ASTURIANA_Leche_de_vaca_desnatada_de_origen_español_6_x_1l._39.jpg,150,8.9,15.6,18.0,0.0,1.0,4.1,Alcampo,Lácteos y Huevos
Bases de pizza finas 3 unidades Al Punto Dia bolsa 420 g,Congelados,"1,90 €",https://www.dia.es/product_images/203958/203958_ISO_0_ES.jpg?imwidth=176,286kcal,"4,9g",52g,"7,5g",0.0,1g,0.0,Día,Alimentos Procesados
Agua mineral pequeña Aguadoy tapón infantil,Agua,"1,44 €",img_mercadona\Agua\Agua_sin_gas\Agua_mineral_pequeña_Aguadoy_tapón_infantil_25.jpg,0.0,0.0,0.0,0.0,0.0,1.28,0.65,Mercadona,Bebidas
Fresa bandeja 400 g,Fruta,"3,69 €",https://www.dia.es/product_images/284260/284260_ISO_0_ES.jpg?imwidth=176,0,0,0,0,0.0,0,0.0,Día,Frutas y Verduras
"PALACIOS Chorizo Oreado 100% natural, especial guisos y microondas PALACIOS 2 x 100 g.",Charcuteria,"1,84 €","img_alcampo/Charcuteria\PALACIOS_Chorizo_Oreado_100%_natural,_especial_guisos_y_microondas_PALACIOS_2_x_100_g._74.jpg",195,9.6,14.5,12.1,0.0,1.5,3.5,Alcampo,Carnes y Pescados
Ensalada mezcla tierna,Lechuga y ensalada preparada,"1,22 €",img_mercadona\Lechuga_y_ensalada_preparada\Lechuga\Ensalada_mezcla_tierna_12.jpg,105.75,6.18,8.0,4.15,1.12,0.34,2.9,Mercadona,Frutas y Verduras
Pan moño rebanado,Pan de horno,"1,42 €",img_mercadona\Pan_de_horno\Pan_rebanado\Pan_moño_rebanado_0.jpg,267.0,1.0,55.0,8.6,3.86,0.83,1.99,Mercadona,Alimentos Básicos
Nuez de Brasil natural Hacendado,Frutos secos y fruta desecada,"3,16 €",img_mercadona\Frutos_secos_y_fruta_desecada\Frutos_secos\Nuez_de_Brasil_natural_Hacendado_38.jpg,674.0,63.4,5.1,16.7,3.73,0.29,5.31,Mercadona,Frutas y Verduras
ALCAMPO CULTIVAMOS LO BUENO Entrecot de lomo de vacuno Villa del monte,carne_vacuno,"21,95 €",img_alcampo/carne_vacuno\ALCAMPO_CULTIVAMOS_LO_BUENO_Entrecot_de_lomo_de_vacuno_Villa_del_monte_33.jpg,138,10.5,27.7,26.7,0.0,1.9,9.4,Alcampo,Carnes y Pescados
Azúcar blanco Hacendado,Azúcar y edulcorante,No disponible,img_mercadona\Azúcar_y_edulcorante\Azúcar\Azúcar_blanco_Hacendado_0.jpg,267.0,1.0,55.0,8.6,0.0,0.1,99.73,Mercadona,Alimentos Básicos
AUCHAN Sarta de chorizo picante de categoria extra 280 g. Producto Alcampo,Charcuteria,"1,69 €",img_alcampo/Charcuteria\AUCHAN_Sarta_de_chorizo_picante_de_categoria_extra_280_g._Producto_Alcampo_150.jpg,177,11.3,15.2,19.6,0.0,0.9,9.9,Alcampo,Carnes y Pescados
Palitos de pan con queso Naturmundo de Dia bolsa 90 g,PanesHarinasMasas,"0,79 €",https://www.dia.es/product_images/277710/277710_ISO_0_ES.jpg?imwidth=176,490kcal,24g,56g,11g,0.7854950495049505,"2,5g",0.0,Día,Alimentos Básicos
Tónica original Schweppes,Tónica y bitter,"5,28 €",img_mercadona\Tónica_y_bitter\Tónica_y_bitter\Tónica_original_Schweppes_3.jpg,34.0,0.0,8.5,0.0,0.07,0.05,9.9,Mercadona,Bebidas
Pan de hamburguesas Bimbo bolsa 300 g,PanesHarinasMasas,"2,39 €",https://www.dia.es/product_images/66255/66255_ISO_0_ES.jpg?imwidth=176,267kcal,"4,8g",45g,"9,4g",0.7854950495049505,"1,2g",0.0,Día,Alimentos Básicos
Queso fresco batido rico en proteínas Granja Rinya tarrina 400 g,CharcuteriaQuesos,"1,93 €",https://www.dia.es/product_images/274204/274204_ISO_0_ES.jpg?imwidth=176,47kcal,"0,4g","3,4g","7,1g",0.0,"0,1g",0.0,Día,Carnes y Pescados
Preparado de carne picada de vacuno ecológico Selección de Dia bandeja 300 g,Carniceria,"3,89 €",https://www.dia.es/product_images/303270/303270_ISO_0_ES.jpg?imwidth=176,113kcal,3g,"1,1g","20,1g",0.0,"1,1g",0.0,Día,Carnes y Pescados
Chocolate con leche Nestlé Extrafino 3 x 125 g,AzucarChocolatesCaramelos,"3,99 €",https://www.dia.es/product_images/46581/46581_ISO_0_ES.jpg?imwidth=176,542kcal,"30,8g","58,9g","6,2g",0.7283347493627867,"0,13g",0.0,Día,Dulces y Snacks
ECOLECERA Garbanzos de Aragón de cultivo ecológico ECOLECERA 500 g.,Arroz y Legumbres,"2,54 €",img_alcampo/Arroz y Legumbres\ECOLECERA_Garbanzos_de_Aragón_de_cultivo_ecológico_ECOLECERA_500_g._165.jpg,236,19.5,10.5,29.2,0.0,1.7,7.2,Alcampo,Alimentos Básicos
Salsa barbacoa Hellmanns bote 250 ml,AceitesSalsasEspecias,"2,25 €",https://www.dia.es/product_images/188953/188953_ISO_0_ES.jpg?imwidth=176,133kcal,"0,7g",30g,"0,7g",0.7854950495049505,"1,6g",0.0,Día,Alimentos Básicos
Verduras para paella Vegecampo de Dia bolsa 450 g,Congelados,"1,32 €",https://www.dia.es/product_images/30389/30389_ISO_0_ES.jpg?imwidth=176,93kcal,"0,3g","16,8g","3,6g",0.42498364944408107,"0,01g",0.0,Día,Alimentos Procesados
Cereales de copos de maíz con azúcar Gran Dia caja 500 g,GalletasBollosCereales,"2,05 €",https://www.dia.es/product_images/37253/37253_ISO_0_ES.jpg?imwidth=176,380kcal,"0,9g","85,1g","6,5g",0.42498364944408107,"1,5g",0.0,Día,Alimentos Procesados
TEJERO Filetes de melva en aceite de oliva 80 g.,Conservas de Pescado,"2,49 €",img_alcampo/Conservas de Pescado\TEJERO_Filetes_de_melva_en_aceite_de_oliva_80_g._48.jpg,272,10.2,6.8,17.0,0.0,1.8,0.9,Alcampo,Alimentos Procesados
Albóndigas Al Punto Dia lata 415 g,PizzasPlatosPreparados,"1,26 €",https://www.dia.es/product_images/6630/6630_ISO_0_ES.jpg?imwidth=176,164kcal,12g,2g,12g,0.0,"1,2g",0.0,Día,Alimentos Procesados
PHILADELPHIA Queso de untar vegetal PHILADELPHIA145 g.,Quesos,"3,48 €",img_alcampo/Quesos\PHILADELPHIA_Queso_de_untar_vegetal_PHILADELPHIA145_g._199.jpg,262,7.5,11.4,23.4,0.0,1.0,5.4,Alcampo,Lácteos y Huevos
Melocotón en almíbar sin azúcares añadidos en mitades Sueños Dia lata 480 g,AzucarChocolatesCaramelos,"2,25 €",https://www.dia.es/product_images/49588/49588_ISO_0_ES.jpg?imwidth=176,34kcal,"0,5g","8,4g","0,5g",0.0,"0,01g",0.0,Día,Dulces y Snacks
Frutos secos tex-mex Snack Maniac de Dia bolsa 200 g,PatatasFritasEncurtidosFrutosSecos,"1,75 €",https://www.dia.es/product_images/285873/285873_ISO_0_ES.jpg?imwidth=176,506kcal,27g,52g,"10,7g",0.0,"1,95g",0.0,Día,Dulces y Snacks
GALBANI Mozzarella GALBANI 125 g.,Quesos,"2,69 €",img_alcampo/Quesos\GALBANI_Mozzarella_GALBANI_125_g._155.jpg,197,10.6,17.5,26.1,0.0,0.9,5.6,Alcampo,Lácteos y Huevos
Bebida refrescante aromatizada azul Get move de Dia botella 500 ml,AguaRefrescosZumos,"0,60 €",https://www.dia.es/product_images/207367/207367_ISO_0_ES.jpg?imwidth=176,22kcal,0,"4,9g",0,0.0,"0,13g",0.0,Día,Bebidas
Flan de vainilla con caramelo Hacendado,Flan y natillas,"1,00 €",img_mercadona\Flan_y_natillas\Flan\Flan_de_vainilla_con_caramelo_Hacendado_0.jpg,57.0,0.5,3.4,11.0,0.97,0.35,17.87,Mercadona,Lácteos y Huevos
Tomate frito Vegecampo de Dia frasco 550 g,AceitesSalsasEspecias,"0,95 €",https://www.dia.es/product_images/10677/10677_ISO_0_ES.jpg?imwidth=176,73kcal,"3,3g","8,7g","1,3g",0.0,"0,83g",0.0,Día,Alimentos Básicos
Pizzas tomate y queso Hacendado ultracongeladas,Pizzas (congelados),"2,40 €",img_mercadona\Pizzas_(congelados)\Pizzas\Pizzas_tomate_y_queso_Hacendado_ultracongeladas_0.jpg,296.0,14.2,27.6,14.4,3.61,1.6,1.27,Mercadona,Alimentos Procesados
Cortezas de trigo sabor a carne Lay's Bocabits bolsa 84 g,PatatasFritasEncurtidosFrutosSecos,"1,99 €",https://www.dia.es/product_images/11622/11622_ISO_0_ES.jpg?imwidth=176,497kcal,"27,6g","53,2g",8g,0.7283347493627867,"3,3g",0.0,Día,Dulces y Snacks
Aceite de oliva virgen extra Hacendado,"Aceite, vinagre y sal","8,20 €","img_mercadona\Aceite,_vinagre_y_sal\Aceite_de_oliva\Aceite_de_oliva_virgen_extra_Hacendado_2.jpg",179.68,6.74,20.81,8.41,0.0,1.18,0.78,Mercadona,Alimentos Básicos
PULEVA Pastilla de mantequilla sin sal 250 g.,Mantequilla,"8,12 €",img_alcampo/Mantequilla\PULEVA_Pastilla_de_mantequilla_sin_sal_250_g._17.jpg,135,7.2,7.5,17.7,0.0,1.0,6.0,Alcampo,Lácteos y Huevos
Palitos de surimi ultracongelados MSC Mari Marinera de Dia bolsa 450 g,Congelados,"1,34 €",https://www.dia.es/product_images/3374/3374_ISO_0_ES.jpg?imwidth=176,103kcal,"2,8g",11g,"8,4g",0.0,"1,8g",0.0,Día,Alimentos Procesados
KIRI Queso en porciones fresco fundido KIRI 8 uds.,Quesos,"4,44 €",img_alcampo/Quesos\KIRI_Queso_en_porciones_fresco_fundido_KIRI_8_uds._219.jpg,270,17.0,20.6,29.5,0.0,1.1,1.6,Alcampo,Lácteos y Huevos
Surtido de mini turrones Hacendado,Turrones,"4,35 €",img_mercadona\Turrones\Turrones\Surtido_de_mini_turrones_Hacendado_27.jpg,179.68,6.74,20.81,8.41,1.09,0.13,23.5,Mercadona,Dulces y Snacks
Vinagre balsámico de módena Selección Mundial de Dia botella 500 ml,AceitesSalsasEspecias,"2,39 €",https://www.dia.es/product_images/106144/106144_ISO_0_ES.jpg?imwidth=176,68kcal,0g,18g,"0,6g",0.0,"0,04g",0.0,Día,Alimentos Básicos
Helado sándwich mini 6 unidades Oreo estuche 198 g,Congelados,"3,85 €",https://www.dia.es/product_images/207900/207900_ISO_0_ES.jpg?imwidth=176,298kcal,12g,42g,"5,3g",0.42498364944408107,"0,78g",0.0,Día,Alimentos Procesados
Noodles orientales sabor verduras Al Punto Dia vaso 65 g,PizzasPlatosPreparados,"0,85 €",https://www.dia.es/product_images/218534/218534_ISO_0_ES.jpg?imwidth=176,463kcal,20g,60g,"8,6g",0.0,"6,3g",0.0,Día,Alimentos Procesados
Pan tostado 100% integral,Pan tostado y rallado,"1,90 €",img_mercadona\Pan_tostado_y_rallado\Pan_tostado\Pan_tostado_100%_integral_6.jpg,267.0,1.0,55.0,8.6,5.78,1.21,2.08,Mercadona,Alimentos Básicos
Refresco de cola clásica Pepsi lata 33 cl,AguaRefrescosZumos,"0,79 €",https://www.dia.es/product_images/7658/7658_ISO_0_ES.jpg?imwidth=176,18kcal,0g,"4,6g",0g,0.0,0g,0.0,Día,Bebidas
Filetes de vacuno añojo para empanar,Vacuno,"7,85 €",img_mercadona\Vacuno\Vacuno\Filetes_de_vacuno_añojo_para_empanar_9.jpg,188.0,7.0,15.6,15.47,0.18,0.6,0.37,Mercadona,Carnes y Pescados
LUENGO Alubia cocida con verduras 400 g.,Arroz y Legumbres,"1,43 €",img_alcampo/Arroz y Legumbres\LUENGO_Alubia_cocida_con_verduras_400_g._64.jpg,265,14.4,13.3,26.7,0.0,1.3,9.3,Alcampo,Alimentos Básicos
Figura de chocolate con leche Reyes Magos Kinder 36 g,AzucarChocolatesCaramelos,"1,99 €",https://www.dia.es/product_images/251850/251850_ISO_0_ES.jpg?imwidth=176,579kcal,"36,2g","53,9g","8,8g",0.0,"0,31g",0.0,Día,Dulces y Snacks
Foie gras entero de pato Hacendado,Paté y sobrasada,"8,30 €",img_mercadona\Paté_y_sobrasada\Paté\Foie_gras_entero_de_pato_Hacendado_16.jpg,609.0,63.0,0.5,10.0,0.52,1.96,1.98,Mercadona,Carnes y Pescados
"PULEVA Leche de crecimiento, enriquecida con cereales, calcio, hierro, 12 vitamínas y Omega 3  Max Crecimiento y desarrollo 1 l.",Leche,"1,69 €","img_alcampo/Leche\PULEVA_Leche_de_crecimiento,_enriquecida_con_cereales,_calcio,_hierro,_12_vitamínas_y_Omega_3__Max_Crecimiento_y_desarrollo_1_l._55.jpg",226,17.9,24.1,27.1,0.0,0.5,8.1,Alcampo,Lácteos y Huevos
Té verde a la menta Hornimans caja 20 unidades,CafeCacaoInfusiones,"2,79 €",https://www.dia.es/product_images/31913/31913_ISO_0_ES.jpg?imwidth=176,0,0,0,0,0.0,0,0.0,Día,Bebidas
Mantequilla sin sal añadida Hacendado,Mantequilla y margarina,"2,65 €",img_mercadona\Mantequilla_y_margarina\Mantequilla\Mantequilla_sin_sal_añadida_Hacendado_0.jpg,142.0,10.0,10.0,3.0,0.0,0.98,0.0,Mercadona,Lácteos y Huevos
Medallones preparado de solomillo cerdo provenzal,Empanados y elaborados,"4,14 €",img_mercadona\Empanados_y_elaborados\Empanados_y_elaborados\Medallones_preparado_de_solomillo_cerdo_provenzal_9.jpg,228.5,7.62,29.5,9.52,0.06,1.81,0.26,Mercadona,Carnes y Pescados
RICURA Lonchas de maxi york 450 g.,Charcuteria,"2,03 €",img_alcampo/Charcuteria\RICURA_Lonchas_de_maxi_york_450_g._50.jpg,125,9.5,12.2,25.4,0.0,1.3,2.4,Alcampo,Carnes y Pescados
Queso tierno bajo en sal mezcla Hacendado,"Queso curado, semicurado y tierno","3,73 €","img_mercadona\Queso_curado,_semicurado_y_tierno\Queso_tierno\Queso_tierno_bajo_en_sal_mezcla_Hacendado_6.jpg",179.68,6.74,20.81,8.41,0.14,1.41,0.34,Mercadona,Lácteos y Huevos
Nachos tex-mex Hacendado sabor queso,Patatas fritas y snacks,"0,90 €",img_mercadona\Patatas_fritas_y_snacks\Snacks\Nachos_tex-mex_Hacendado_sabor_queso_4.jpg,481.0,22.0,61.0,8.2,1.61,2.06,1.11,Mercadona,Dulces y Snacks
Licor crema Puente Pazos,Licores,"6,35 €",img_mercadona\Licores\Cremas\Licor_crema_Puente_Pazos_2.jpg,179.68,6.74,20.81,8.41,0.0,0.0,1.21,Mercadona,Bebidas
Mosto tinto Casón Histórico,Vino blanco,"2,00 €",img_mercadona\Vino_blanco\Vinos_dulces_y_mosto\Mosto_tinto_Casón_Histórico_2.jpg,179.68,6.74,20.81,8.41,0.0,0.04,2.98,Mercadona,Bebidas
"LOREA Gourmet Bonito del norte en aceite de oliva, 266 g.",Conservas de Pescado,"3,42 €","img_alcampo/Conservas de Pescado\LOREA_Gourmet_Bonito_del_norte_en_aceite_de_oliva,_266_g._51.jpg",211,5.2,28.1,16.4,0.0,2.0,8.4,Alcampo,Alimentos Procesados
Leche semidesnatada Central Lechera Asturiana brik 1 l,LecheHuevosMantequilla,"1,11 €",https://www.dia.es/product_images/17548/17548_ISO_0_ES.jpg?imwidth=176,45kcal,"1,55g","4,65g","3,15g",0.0,"0,1g",0.0,Día,Lácteos y Huevos
Petit de fresa Danonino pack 6 x 50 g,YoguresPostres,"1,47 €",https://www.dia.es/product_images/12679/12679_ISO_0_ES.jpg?imwidth=176,88kcal,"2,1g","11,3g","5,9g",0.0,"0,09g",0.0,Día,Lácteos y Huevos
Carrillada de cerdo congelada,Carne congelada,"5,75 €",img_mercadona\Carne_congelada\Carne_congelada\Carrillada_de_cerdo_congelada_9.jpg,161.0,9.4,0.5,19.2,0.0,0.28,0.29,Mercadona,Carnes y Pescados
Salchichas cocidas jumbo con queso Oscar mayer bolsa 350 g,CharcuteriaQuesos,"2,45 €",https://www.dia.es/product_images/67436/67436_ISO_0_ES.jpg?imwidth=176,233kcal,19g,"1,5g",14g,0.09821360153256704,2g,0.0,Día,Carnes y Pescados
PRODUCTO ALCAMPO Pasta Farfalle de calidad superior paquete de 500 g.,Pasta Alimenticia,"0,77 €",img_alcampo/Pasta Alimenticia\PRODUCTO_ALCAMPO_Pasta_Farfalle_de_calidad_superior_paquete_de_500_g._83.jpg,183,12.4,17.4,26.8,0.0,1.7,7.0,Alcampo,Alimentos Básicos
Magdalenas rellenas con crema de cacao El molino de Dia bolsa 336 g,GalletasBollosCereales,"1,69 €",https://www.dia.es/product_images/86108/86108_ISO_0_ES.jpg?imwidth=176,448kcal,23g,55g,"4,2g",0.0,"0,8g",0.0,Día,Alimentos Procesados
Cerveza extra San Miguel Selecta lata 33 cl,CervezasVinoBebidasAlcoholicas,"1,00 €",https://www.dia.es/product_images/130556/130556_ISO_0_ES.jpg?imwidth=176,56kcal,0g,5g,"0,4g",0.0,0g,0.0,Día,Bebidas
Lechuga iceberg lavada Vegecampo de Dia bolsa 250 g,Verduras,"0,91 €",https://www.dia.es/product_images/272828/272828_ISO_0_ES.jpg?imwidth=176,16kcal,"0,1g","2,2g","0,9g",0.0,"0,02g",0.0,Día,Frutas y Verduras
Natillas sabor vainilla Hacendado,Flan y natillas,"1,05 €",img_mercadona\Flan_y_natillas\Natillas\Natillas_sabor_vainilla_Hacendado_0.jpg,57.0,0.5,3.4,11.0,0.18,0.2,20.06,Mercadona,Lácteos y Huevos
Tortitas de arroz integral con chocolate negro Bicentury bolsa 130 g,GalletasBollosCereales,"2,69 €",https://www.dia.es/product_images/68890/68890_ISO_0_ES.jpg?imwidth=176,467kcal,18g,68g,"6,2g",0.42498364944408107,"0,03g",0.0,Día,Alimentos Procesados
Filetes pechuga de pavo,Aves y pollo,"4,80 €",img_mercadona\Aves_y_pollo\Pavo_y_otras_aves\Filetes_pechuga_de_pavo_0.jpg,179.68,6.74,20.81,8.41,0.0,1.28,0.41,Mercadona,Carnes y Pescados
